parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
Moscow Exchange	Energy (Oil, Gas, Coal)		Энергоресурсы (Нефть, газ, уголь)				rgba(44,129,146,1)	
Moscow Exchange	exchange_ppif		exchange_ppif				rgba(218, 112, 214, 1)	
Chemicals and Pertochemicals	AKRN	Acron	Акрон	Акрон ПАО ао	2006-10-11			Акрон_(компания)
Chemicals and Pertochemicals	AZKM	Azot	Азот ао	КОАО Азот ао	2008-08-28	2012-12-25		
Chemicals and Pertochemicals	DGBZ	Dorogobuzh	Дорогбж ао	Дорогобуж ПАО ао	2006-12-21	2018-02-28		
Chemicals and Pertochemicals	DGBZP	Dorogobuzh ap	Дорогбж ап	Дорогобуж ПАО ап	2006-12-21	2016-02-02		
Chemicals and Pertochemicals	HIMC	Himprom ao	Химпром ао	Химпром ПАО ао	2011-12-14	2022-12-13		
Chemicals and Pertochemicals	HIMCP	Himprom ap	Химпром ап	Химпром ПАО ап	2011-12-14			
Chemicals and Pertochemicals	IDJT	IDJAT	ИДЖАТ	ПАО ИДЖАТ	2014-04-25	2020-05-24		
Chemicals and Pertochemicals	KAZT	Kuib.Azot ao	Куйбазот	Куйбышевазот ПАО ао	2011-12-14			
Chemicals and Pertochemicals	KAZTP	Kuibishevazot ap	Куйбазот-п	Куйбышевазот ПАО ап	2011-12-14			
